full_date,date,weekday,time,mood,activities,note
19/12/2019,19-Dec,Thursday,8:45,good,,
18/12/2019,18-Dec,Wednesday,21:00,good,,
17/12/2019,17-Dec,Tuesday,21:17,rad,,
17/12/2019,17-Dec,Tuesday,8:07,rad,,
16/12/2019,16-Dec,Monday,21:04,rad,,
16/12/2019,16-Dec,Monday,7:28,rad,,
15/12/2019,15-Dec,Sunday,7:42,meh,,
15/12/2019,15-Dec,Sunday,2:03,awful,,
14/12/2019,14-Dec,Saturday,7:08,good,,
13/12/2019,13-Dec,Friday,21:09,rad,,
13/12/2019,13-Dec,Friday,7:05,meh,,
12/12/2019,12-Dec,Thursday,21:03,good,,
12/12/2019,12-Dec,Thursday,7:11,good,,
11/12/2019,11-Dec,Wednesday,21:04,good,,
11/12/2019,11-Dec,Wednesday,7:27,meh,,
10/12/2019,10-Dec,Tuesday,21:00,good,,
10/12/2019,10-Dec,Tuesday,7:31,good,,
9/12/2019,9-Dec,Monday,21:26,good,,
9/12/2019,9-Dec,Monday,7:08,good,,
8/12/2019,8-Dec,Sunday,21:11,good,,
8/12/2019,8-Dec,Sunday,7:06,meh,,
7/12/2019,7-Dec,Saturday,21:02,good,,
7/12/2019,7-Dec,Saturday,7:05,meh,,
6/12/2019,6-Dec,Friday,21:05,good,,
6/12/2019,6-Dec,Friday,7:51,bad,,
5/12/2019,5-Dec,Thursday,21:20,good,,
5/12/2019,5-Dec,Thursday,9:28,good,work | sick,
23/11/2019,23-Nov,Saturday,21:00,good,,
23/11/2019,23-Nov,Saturday,8:00,good,,
22/11/2019,22-Nov,Friday,21:12,good,,
22/11/2019,22-Nov,Friday,10:50,meh,,
21/11/2019,21-Nov,Thursday,21:45,meh,,
21/11/2019,21-Nov,Thursday,8:13,good,,
20/11/2019,20-Nov,Wednesday,21:00,good,,
20/11/2019,20-Nov,Wednesday,8:00,good,,
19/11/2019,19-Nov,Tuesday,21:00,meh,,
19/11/2019,19-Nov,Tuesday,8:47,bad,,
18/11/2019,18-Nov,Monday,21:17,good,,
18/11/2019,18-Nov,Monday,8:06,good,,
17/11/2019,17-Nov,Sunday,21:52,good,,
17/11/2019,17-Nov,Sunday,8:00,good,,
16/11/2019,16-Nov,Saturday,21:00,rad,,
16/11/2019,16-Nov,Saturday,8:00,good,,
15/11/2019,15-Nov,Friday,8:22,good,,
14/11/2019,14-Nov,Thursday,21:55,good,,
14/11/2019,14-Nov,Thursday,9:12,good,,
13/11/2019,13-Nov,Wednesday,21:00,good,,
13/11/2019,13-Nov,Wednesday,8:00,good,,
12/11/2019,12-Nov,Tuesday,21:00,meh,,
11/11/2019,11-Nov,Monday,8:11,good,,
10/11/2019,10-Nov,Sunday,21:04,meh,,
10/11/2019,10-Nov,Sunday,8:44,meh,,
9/11/2019,9-Nov,Saturday,21:00,meh,,
9/11/2019,9-Nov,Saturday,9:07,good,,
8/11/2019,8-Nov,Friday,21:00,good,,
8/11/2019,8-Nov,Friday,8:00,awful,,
7/11/2019,7-Nov,Thursday,21:04,rad,,
7/11/2019,7-Nov,Thursday,8:18,good,,
6/11/2019,6-Nov,Wednesday,21:11,meh,,
6/11/2019,6-Nov,Wednesday,8:13,good,,
5/11/2019,5-Nov,Tuesday,21:46,bad,,
5/11/2019,5-Nov,Tuesday,8:03,bad,,
4/11/2019,4-Nov,Monday,21:37,rad,,
4/11/2019,4-Nov,Monday,9:44,meh,,
3/11/2019,3-Nov,Sunday,21:00,good,,
3/11/2019,3-Nov,Sunday,8:14,good,,
2/11/2019,2-Nov,Saturday,21:00,meh,,
2/11/2019,2-Nov,Saturday,8:02,rad,sex,
1/11/2019,1-Nov,Friday,21:02,good,,
1/11/2019,1-Nov,Friday,8:21,good,,
31/10/2019,31-Oct,Thursday,22:08,good,,
31/10/2019,31-Oct,Thursday,8:36,good,,
30/10/2019,30-Oct,Wednesday,21:37,good,,
30/10/2019,30-Oct,Wednesday,8:00,good,,
29/10/2019,29-Oct,Tuesday,21:55,good,,
29/10/2019,29-Oct,Tuesday,9:09,good,,
28/10/2019,28-Oct,Monday,21:32,good,,
28/10/2019,28-Oct,Monday,8:55,good,,
27/10/2019,27-Oct,Sunday,21:43,good,,
